,trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
63,64,BUY,102631.9,2025-02-01,02:15:00,SELL,102373.50000000001,2025-02-01,03:15:00,0.0908110788364851,-23.4655827713459,-0.25177357137496204
64,65,BUY,102184.6,2025-02-01,12:45:00,SELL,101779.3,2025-02-01,15:00:00,0.09081735736051454,-36.808274938216805,-0.39663510940004937
65,66,BUY,102055.5,2025-02-01,16:30:00,SELL,101989.89999999998,2025-02-01,16:45:00,0.0904171767761143,-5.93136679651494,-0.06427875028785354
66,67,BUY,102167.9,2025-02-01,17:30:00,SELL,101841.70000000001,2025-02-01,19:15:00,0.0900910035095759,-29.387685344822085,-0.31927836433946727
67,68,BUY,101214.6,2025-02-02,02:00:00,SELL,100906.80000000002,2025-02-02,02:15:00,0.09049119275557387,-27.853189130164584,-0.30410632458162
68,69,BUY,95271.1,2025-02-03,08:00:00,SELL,94671.80000000002,2025-02-03,13:15:00,0.09567637670149282,-57.33885255720353,-0.6290470037608343
69,70,BUY,96096.8,2025-02-03,14:45:00,SELL,100611.39999999998,2025-02-04,03:30:00,0.09410788660179469,424.8594648524601,4.697971212360845
70,71,BUY,99177.8,2025-02-04,12:15:00,SELL,98853.00000000001,2025-02-04,17:30:00,0.0950765961201624,-30.88087841982764,-0.32749264452325855
71,72,BUY,99933.0,2025-02-04,19:15:00,SELL,98227.4,2025-02-04,20:30:00,0.09388545047152544,-160.13102432423435,-1.706743518157171
72,73,BUY,98055.29999999999,2025-02-05,01:45:00,SELL,97808.99999999999,2025-02-05,02:00:00,0.09395182996831722,-23.140335721196806,-0.2511847906232534
73,74,BUY,98048.1,2025-02-05,04:15:00,SELL,97880.9,2025-02-05,04:30:00,0.09355612643217216,-15.642584339460274,-0.17052854670310963
74,75,BUY,98217.0,2025-02-05,04:45:00,SELL,97757.29999999999,2025-02-05,05:45:00,0.09306673438614771,-42.78277779731319,-0.4680452467495562
75,76,BUY,98107.1,2025-02-05,06:00:00,SELL,97866.29999999999,2025-02-05,06:30:00,0.0925800044227686,-22.293265065004295,-0.24544604824729038
