trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
46,SELL,104974.40000000001,2025-01-24,14:15:00,BUY,105221.3,2025-01-24,14:30:00,0.08453587212352012,-20.871906827296627,-0.2352002011919041
47,SELL,105164.0,2025-01-24,20:30:00,BUY,104860.0,2025-01-25,04:30:00,0.08403439884544148,25.54645724901421,0.28907230611235785
48,SELL,104609.29999999999,2025-01-25,05:00:00,BUY,104626.90000000001,2025-01-25,12:00:00,0.08455163566576825,-1.4881087877192436,-0.016824507954857144
49,SELL,104702.00000000001,2025-01-26,00:00:00,BUY,105048.2,2025-01-26,03:45:00,0.08430283540776029,-29.18564161816514,-0.33065270959483345
50,SELL,104821.1,2025-01-26,09:30:00,BUY,104882.6,2025-01-26,13:30:00,0.08378235948491312,-5.152615108322157,-0.05867139345036447
51,SELL,104703.2,2025-01-26,21:15:00,BUY,100567.6,2025-01-27,13:00:00,0.0836704582283578,346.0275470491958,3.949831523773859
52,SELL,99550.0,2025-01-27,17:15:00,BUY,100905.2,2025-01-27,20:45:00,0.09113987488568633,-123.51275844508184,-1.3613259668508257
53,SELL,102633.5,2025-01-28,12:30:00,BUY,102767.99999999999,2025-01-28,13:30:00,0.08708940204252683,-11.71352457471859,-0.13104882908600549
54,SELL,102522.10000000002,2025-01-28,13:45:00,BUY,103168.0,2025-01-28,15:30:00,0.08690964882813101,-56.13494217808805,-0.6300105050520615
55,SELL,102233.5,2025-01-28,16:15:00,BUY,103002.3,2025-01-28,18:15:00,0.08646732752126847,-66.47608139835145,-0.7520039908640542
56,SELL,102161.0,2025-01-28,19:00:00,BUY,101675.0,2025-01-29,01:45:00,0.08574533479478595,41.67223271026597,0.4757196973404724
57,SELL,102189.9,2025-01-29,13:00:00,BUY,102551.3,2025-01-29,17:45:00,0.08594608916163232,-31.06091662301467,-0.35365530252990635
58,SELL,101508.6,2025-01-29,19:30:00,BUY,103418.10000000002,2025-01-29,19:45:00,0.08606747516092397,-164.34584381978559,-1.881121402521574
59,SELL,104856.29999999999,2025-01-30,12:45:00,BUY,105879.8,2025-01-30,15:00:00,0.08167086908152418,-83.59013450494119,-0.9760977642735961
60,SELL,105240.1,2025-01-30,18:00:00,BUY,105419.29999999999,2025-01-30,19:15:00,0.08046317172416291,-14.419000372968588,-0.17027729924238244
61,SELL,104836.3,2025-01-30,21:00:00,BUY,104630.0,2025-01-31,07:30:00,0.08048890918318412,16.604861964491118,0.19678298451967774
62,SELL,104254.8,2025-01-31,07:45:00,BUY,104700.0,2025-01-31,11:15:00,0.08093537350741922,-36.0324282855028,-0.42703069786714576
63,SELL,103967.00000000001,2025-01-31,18:30:00,BUY,102631.9,2025-02-01,02:15:00,0.08067563894311229,107.71004555295086,1.2841574730443508
64,SELL,102373.5,2025-02-01,03:15:00,BUY,102184.6,2025-02-01,12:45:00,0.08277633021717955,15.636448778024734,0.1845204081134221
65,SELL,101779.3,2025-02-01,15:00:00,BUY,102055.50000000001,2025-02-01,16:30:00,0.08324749067280933,-22.992956923830906,-0.27137148712951614
66,SELL,101989.9,2025-02-01,16:45:00,BUY,102167.89999999998,2025-02-01,17:30:00,0.08270328188573606,-14.721184175659815,-0.17452708552512108
67,SELL,101841.7,2025-02-01,19:15:00,BUY,101214.6,2025-02-02,02:00:00,0.08252880742957112,51.75381513908333,0.6157595562524892
68,SELL,100906.8,2025-02-02,02:15:00,BUY,95271.1,2025-02-03,08:00:00,0.08362307290097655,471.2745519480333,5.585054723764897
69,SELL,94671.8,2025-02-03,13:15:00,BUY,96096.8,2025-02-03,14:45:00,0.09369478985036733,-133.51507553677345,-1.5052000701370418
70,SELL,100611.39999999998,2025-02-04,03:30:00,BUY,99177.8,2025-02-04,12:15:00,0.08673396939021262,124.34181851780679,1.424888233341328
71,SELL,98853.00000000001,2025-02-04,17:30:00,BUY,99933.0,2025-02-04,19:15:00,0.08930539624083728,-96.44982794010296,-1.0925313344056176
72,SELL,98227.4,2025-02-04,20:30:00,BUY,98055.3,2025-02-05,01:45:00,0.08876967032729688,15.277260263327017,0.17520569617030612
73,SELL,97809.0,2025-02-05,02:00:00,BUY,98048.1,2025-02-05,04:15:00,0.0891284614130519,-21.31061512386123,-0.24445603165353474
74,SELL,97880.9,2025-02-05,04:30:00,BUY,98217.0,2025-02-05,04:45:00,0.08868673028242177,-29.807610047922473,-0.34337649122556685
75,SELL,97757.29999999999,2025-02-05,05:45:00,BUY,98107.1,2025-02-05,06:00:00,0.08834027602127752,-30.90142855224442,-0.3578249399277778
76,SELL,97866.3,2025-02-05,06:30:00,BUY,98066.9,2025-02-05,11:15:00,0.0877738720534218,-17.607438733915647,-0.2049735199961491
77,SELL,97657.2,2025-02-05,16:15:00,BUY,97351.8,2025-02-06,02:15:00,0.08762322801491487,26.76013383575449,0.3127265577960398
78,SELL,98249.6,2025-02-06,14:30:00,BUY,96759.9,2025-02-07,01:45:00,0.0871885177825205,129.8847349406218,1.516240269680499
