trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
36,SELL,216.45,2025-01-17,18:00:00,BUY,220.25999999999996,2025-01-17,21:00:00,38.92559796025183,-148.30652822855845,-1.760221760221748
37,SELL,218.28000000000003,2025-01-18,02:15:00,BUY,221.98000000000002,2025-01-18,03:00:00,37.879811428845606,-140.1553022867283,-1.6950705515851145
38,SELL,252.99,2025-01-19,03:15:00,BUY,264.23,2025-01-19,04:15:00,32.09254776294604,-360.7202368555138,-4.442863354282781
39,SELL,269.36,2025-01-19,14:45:00,BUY,276.34,2025-01-19,20:30:00,28.81259799835298,-201.1119340285027,-2.591327591327577
40,SELL,263.4,2025-01-19,21:30:00,BUY,253.55,2025-01-20,06:45:00,28.68140228737696,282.5118125306621,3.7395596051632376
41,SELL,254.14,2025-01-20,12:30:00,BUY,239.28,2025-01-21,09:00:00,30.728216298320845,456.6212941930473,5.8471708507122
42,SELL,239.33,2025-01-21,15:30:00,BUY,240.82,2025-01-21,16:00:00,34.38492039144638,-51.23353138325444,-0.622571345004797
43,SELL,247.05,2025-01-21,23:30:00,BUY,252.56000000000003,2025-01-22,01:00:00,33.04581486486394,-182.08243990540097,-2.2303177494434405
44,SELL,253.65,2025-01-22,10:00:00,BUY,256.03,2025-01-22,11:30:00,31.44347007300119,-74.83545877374179,-0.9383008082002631
45,SELL,256.27,2025-01-22,15:45:00,BUY,259.1,2025-01-22,17:30:00,30.786379831991844,-87.12545492453818,-1.1043040543177278
46,SELL,255.71,2025-01-22,18:45:00,BUY,262.92,2025-01-22,19:45:00,30.46996775965979,-219.68846754714733,-2.8196003284971285
47,SELL,256.82,2025-01-22,23:30:00,BUY,252.07,2025-01-23,14:45:00,29.46717118698927,139.96906313819903,1.8495444280040498
48,SELL,246.72,2025-01-23,20:00:00,BUY,255.42,2025-01-23,20:30:00,31.154684431403183,-271.04575455320736,-3.5262645914396837
49,SELL,245.77,2025-01-23,21:30:00,BUY,251.51,2025-01-23,23:00:00,30.168165948534668,-173.16527254458842,-2.335516946738813
50,SELL,248.99,2025-01-24,02:15:00,BUY,252.73,2025-01-24,04:15:00,29.057708957067383,-108.67583149943145,-1.5020683561588741
51,SELL,262.12,2025-01-24,16:00:00,BUY,249.81,2025-01-25,12:00:00,27.157596422625133,334.31001196251543,4.696322295132002
52,SELL,256.4,2025-01-26,00:30:00,BUY,259.27,2025-01-26,03:45:00,28.94954937901272,-83.08520671776664,-1.1193447737909534
53,SELL,255.9,2025-01-26,08:45:00,BUY,256.21,2025-01-26,17:15:00,28.64224900732755,-8.879097192270791,-0.12114107073074398
54,SELL,253.36,2025-01-26,21:00:00,BUY,230.93,2025-01-27,13:00:00,28.839964461500088,646.8804028714471,8.853015472055576
55,SELL,228.51,2025-01-27,17:30:00,BUY,234.29,2025-01-27,21:00:00,34.608768181998805,-200.03868009195313,-2.529429784254519
56,SELL,237.55,2025-01-28,09:15:00,BUY,230.97,2025-01-29,02:15:00,32.427685877340735,213.37417307290244,2.769943169858982
57,SELL,231.84,2025-01-29,10:45:00,BUY,229.5,2025-01-29,18:45:00,34.03695870676584,79.64648337383217,1.0093167701863368
58,SELL,226.56,2025-01-29,19:15:00,BUY,233.42,2025-01-29,19:45:00,35.10137080276102,-240.79540370694005,-3.027895480225982
59,SELL,229.26,2025-01-29,23:45:00,BUY,234.94,2025-01-30,01:45:00,33.623211732733495,-190.97984264192647,-2.4775364215301434
60,SELL,239.84,2025-01-30,18:30:00,BUY,241.60999999999999,2025-01-30,22:45:00,31.32030911890137,-55.436947140454855,-0.7379919946631012
61,SELL,239.85,2025-01-30,23:00:00,BUY,237.66,2025-01-31,07:00:00,31.039702458244076,67.97694838355446,0.9130706691682292
62,SELL,235.57,2025-01-31,08:00:00,BUY,238.15,2025-01-31,11:30:00,31.818016112702907,-82.0904815707739,-1.095215859404853
63,SELL,237.6,2025-01-31,17:15:00,BUY,233.6,2025-02-01,01:15:00,31.15636929890966,124.62547719563864,1.6835016835016834
64,SELL,230.88,2025-02-01,03:30:00,BUY,232.42,2025-02-01,05:30:00,32.5169450593244,-50.07609539135932,-0.6670131670131636
65,SELL,231.15,2025-02-01,06:30:00,BUY,214.78,2025-02-02,08:45:00,32.212633637887606,527.3208126522203,7.081981397361023
66,SELL,211.9,2025-02-02,11:00:00,BUY,213.8,2025-02-02,14:15:00,37.43717112009775,-71.13062512818594,-0.8966493629070343
67,SELL,210.67,2025-02-02,15:45:00,BUY,211.92,2025-02-02,16:00:00,37.263123904297736,-46.57890488037217,-0.5933450420088291
68,SELL,209.33,2025-02-02,16:15:00,BUY,195.58,2025-02-03,07:00:00,37.220584181768906,511.7830324993225,6.568575932737781
69,SELL,194.57,2025-02-03,13:15:00,BUY,198.89,2025-02-03,15:15:00,42.46743652360711,-183.45932578198244,-2.2202806188004285
70,SELL,214.31,2025-02-04,04:30:00,BUY,209.67,2025-02-04,11:15:00,37.668466190142794,174.78168312226313,2.1650879566982475
71,SELL,207.23,2025-02-04,20:15:00,BUY,207.93999999999997,2025-02-05,03:45:00,39.67961131819118,-28.172524035914925,-0.3426144863195385
72,SELL,206.08,2025-02-05,04:15:00,BUY,205.74,2025-02-05,11:45:00,39.69907537287256,13.497685626776805,0.1649844720496911
73,SELL,204.17,2025-02-05,15:15:00,BUY,199.23,2025-02-06,02:00:00,40.057191676681015,197.88252688280411,2.4195523338394467
74,SELL,200.67,2025-02-06,11:15:00,BUY,193.9,2025-02-06,22:00:00,41.61408265696816,281.72733958767367,3.3736981113270454
75,SELL,191.18,2025-02-06,22:15:00,BUY,193.51,2025-02-07,02:15:00,45.00264892527279,-104.85617199588488,-1.2187467308295763
76,SELL,190.23,2025-02-07,06:30:00,BUY,194.48000000000002,2025-02-07,08:45:00,44.61492175831362,-189.61341747283416,-2.234137622877584
77,SELL,197.82,2025-02-07,16:45:00,BUY,193.3,2025-02-08,01:30:00,41.91011122870614,189.433702753751,2.2849054696188364
78,SELL,191.84999999999997,2025-02-08,04:45:00,BUY,193.11,2025-02-08,08:15:00,44.07113855778019,-55.529634582805144,-0.6567630961689069
