,trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
13,14,BUY,216.95,2025-01-05,02:45:00,SELL,216.26000000000002,2025-01-05,06:15:00,45.07044429558004,-31.09860656394884,-0.31804563263423336
14,15,BUY,212.97,2025-01-05,20:45:00,SELL,212.78,2025-01-06,00:45:00,45.68479030113517,-8.680110157215578,-0.0892144433488274
15,16,BUY,215.69,2025-01-06,02:15:00,SELL,214.56,2025-01-06,07:30:00,44.98477398714002,-50.83279460546802,-0.5239000417265499
16,17,BUY,215.13,2025-01-06,08:00:00,SELL,213.79,2025-01-06,08:45:00,44.791929448953965,-60.02118546159846,-0.6228791893273851
17,18,BUY,215.35,2025-01-06,11:15:00,SELL,218.21,2025-01-06,21:15:00,44.396638539608375,126.97438622328056,1.3280705827722377
18,19,BUY,197.01,2025-01-08,14:00:00,SELL,194.62,2025-01-08,17:00:00,49.04906146968078,-117.22725691253639,-1.2131363890157791
19,20,BUY,196.94,2025-01-08,22:15:00,SELL,195.23,2025-01-09,03:15:00,48.4083531853798,-82.77828394699985,-0.8682847567787184
20,21,BUY,192.39,2025-01-09,16:15:00,SELL,187.21,2025-01-09,18:00:00,49.04561414637375,-254.05628127821498,-2.692447632413316
21,22,BUY,187.74,2025-01-10,01:45:00,SELL,190.56,2025-01-10,13:30:00,48.885833180547586,137.85804956914384,1.5020773410035118
22,23,BUY,190.97,2025-01-10,18:15:00,SELL,187.36,2025-01-10,21:00:00,48.65278647561973,-175.6365591769865,-1.8903492695187647
23,24,BUY,186.57,2025-01-11,12:00:00,SELL,186.02,2025-01-11,17:30:00,48.80952638953267,-26.845239514242138,-0.2947955191081004
24,25,BUY,187.2,2025-01-11,18:15:00,SELL,187.73000000000002,2025-01-12,00:15:00,48.41934728554955,25.662254061342693,0.28311965811967393
25,26,BUY,186.56,2025-01-12,12:00:00,SELL,188.43,2025-01-12,21:15:00,48.62368557369889,90.92629202281715,1.00235849056604
26,27,BUY,190.38,2025-01-13,00:30:00,SELL,186.82,2025-01-13,02:15:00,48.01078386380043,-170.91839055512963,-1.869944321882552
27,28,BUY,178.57,2025-01-13,16:15:00,SELL,176.21,2025-01-13,17:00:00,50.18041315267513,-118.42577504031256,-1.3216105728845748
28,29,BUY,177.629,2025-01-13,20:30:00,SELL,186.01,2025-01-14,13:00:00,49.71766453538279,416.68374647104315,4.7182610947536725
29,30,BUY,187.97,2025-01-14,14:00:00,SELL,186.51,2025-01-14,16:30:00,48.99964500521236,-71.53948170761043,-0.7767196893121285
30,31,BUY,187.42,2025-01-14,21:30:00,SELL,187.80999999999997,2025-01-15,09:45:00,48.685192881490835,18.98722522378076,0.2080887845480666
31,32,BUY,194.35,2025-01-15,13:45:00,SELL,202.81,2025-01-16,03:15:00,46.950308582696685,397.19961060961435,4.352971443272451
32,33,BUY,202.92,2025-01-16,07:00:00,SELL,201.92000000000002,2025-01-16,08:30:00,46.74200256693866,-46.74200256693733,-0.49280504632366035
33,34,BUY,204.53,2025-01-16,11:30:00,SELL,209.65,2025-01-16,22:30:00,46.06906262035576,235.8736006162217,2.503300249352175
34,35,BUY,214.53000000000003,2025-01-17,01:45:00,SELL,211.66,2025-01-17,04:15:00,44.88373325651911,-128.81631444621132,-1.3378082319489268
35,36,BUY,212.47999999999996,2025-01-17,04:45:00,SELL,216.45,2025-01-17,18:00:00,44.655294446753956,177.28151895361444,1.8684111445783265
36,37,BUY,220.26,2025-01-17,21:00:00,SELL,218.27999999999997,2025-01-18,02:15:00,43.75598837078609,-86.63685697415725,-0.8989376191773442
37,38,BUY,221.98,2025-01-18,03:00:00,SELL,252.99000000000004,2025-01-19,03:15:00,42.96602050060586,1332.3762957237898,13.969727002432675
38,39,BUY,264.23,2025-01-19,04:15:00,SELL,269.36,2025-01-19,14:45:00,40.81280520547543,209.36969070408875,1.9414903682397893
39,40,BUY,276.34,2025-01-19,20:30:00,SELL,263.4,2025-01-19,21:30:00,39.66917668856679,-513.3191463500542,-4.682637330824346
40,41,BUY,253.55000000000004,2025-01-20,06:45:00,SELL,254.14,2025-01-20,12:30:00,41.23126250337764,24.326444876990607,0.232695720765114
41,42,BUY,239.28000000000003,2025-01-21,09:00:00,SELL,239.33,2025-01-21,15:30:00,43.70365540658317,2.1851827703284132,0.02089602139751878
42,43,BUY,240.82,2025-01-21,16:00:00,SELL,247.05,2025-01-21,23:30:00,43.348484130426435,270.0610561325575,2.5869944356781076
43,44,BUY,252.56000000000003,2025-01-22,01:00:00,SELL,253.65,2025-01-22,10:00:00,42.27146987944034,46.07590216858891,0.4315806145074338
44,45,BUY,256.03,2025-01-22,11:30:00,SELL,256.27,2025-01-22,15:45:00,41.79175928084651,10.030022227403544,0.09373901495918803
45,46,BUY,259.1,2025-01-22,17:30:00,SELL,255.71,2025-01-22,18:45:00,41.25483542333845,-139.85389208511796,-1.3083751447317695
46,47,BUY,262.92,2025-01-22,19:45:00,SELL,256.82,2025-01-22,23:30:00,40.07332406762321,-244.4472768125025,-2.3200973680206993
47,48,BUY,252.07,2025-01-23,14:45:00,SELL,246.72,2025-01-23,20:00:00,40.795249102144474,-218.2545826964727,-2.1224263101519396
48,49,BUY,255.42,2025-01-23,20:30:00,SELL,245.77,2025-01-23,21:30:00,39.37588070522789,-379.97724880544826,-3.7780909873933046
49,50,BUY,251.51000000000002,2025-01-23,23:00:00,SELL,248.99,2025-01-24,02:15:00,38.47666990095408,-96.96120815040467,-1.0019482326746492
50,51,BUY,252.73,2025-01-24,04:15:00,SELL,262.12,2025-01-24,16:00:00,37.85407116062565,355.4497281982754,3.715427531357581
51,52,BUY,249.81,2025-01-25,12:00:00,SELL,256.4,2025-01-26,00:30:00,39.57416410913528,260.7937414792005,2.638004883711611
52,53,BUY,259.27,2025-01-26,03:45:00,SELL,255.9,2025-01-26,08:45:00,39.01390416869291,-131.47685704849417,-1.2998032938635309
53,54,BUY,256.21,2025-01-26,17:15:00,SELL,253.35999999999999,2025-01-26,21:00:00,38.91631055469811,-110.91148508088938,-1.112368760001559
54,55,BUY,230.93,2025-01-27,13:00:00,SELL,228.50999999999996,2025-01-27,17:30:00,42.6368015988632,-103.18105986925083,-1.0479366041657838
