datetime,open,high,low,close,volume
2025-05-09 18:45:00,103267.30,103336.10,103134.60,103142.60,733.075
2025-05-09 19:00:00,103142.70,103247.80,103094.60,103102.00,589.836
2025-05-09 19:15:00,103102.10,103102.10,102832.50,102950.10,1263.949
2025-05-09 19:30:00,102950.10,103063.20,102853.70,103043.80,629.920
2025-05-09 19:45:00,103043.70,103157.80,103010.30,103145.50,835.231
2025-05-09 20:00:00,103145.50,103366.00,103121.20,103260.00,1345.747
2025-05-09 20:15:00,103260.00,103312.50,103250.00,103270.00,345.605
2025-05-09 20:30:00,103270.00,103270.10,103142.80,103185.90,530.958
2025-05-09 20:45:00,103186.00,103206.20,103093.70,103143.50,410.342
2025-05-09 21:00:00,103143.50,103178.40,102966.80,102972.90,491.149
2025-05-09 21:15:00,102973.00,103045.80,102739.60,102890.60,1363.735
2025-05-09 21:30:00,102890.60,102954.90,102773.00,102773.00,584.787
2025-05-09 21:45:00,102773.10,102944.80,102740.00,102943.00,597.495
2025-05-09 22:00:00,102943.10,103028.30,102938.00,102978.60,487.706
2025-05-09 22:15:00,102978.70,103012.30,102875.00,103012.30,353.018
2025-05-09 22:30:00,103012.30,103036.70,102876.00,102900.00,354.184
2025-05-09 22:45:00,102900.00,102916.50,102711.10,102745.80,585.675
2025-05-09 23:00:00,102745.90,102842.80,102700.00,102842.80,414.691
2025-05-09 23:15:00,102842.70,102934.30,102809.00,102898.20,464.484
2025-05-09 23:30:00,102898.20,102949.30,102855.00,102890.60,281.596
2025-05-09 23:45:00,102890.80,102943.60,102881.50,102941.90,304.116
2025-05-10 00:00:00,102941.90,103066.60,102892.20,102964.20,1073.697
2025-05-10 00:15:00,102964.20,103081.70,102884.00,102912.00,829.714
2025-05-10 00:30:00,102912.00,102954.80,102836.00,102840.00,606.655
2025-05-10 00:45:00,102839.90,102917.20,102784.00,102821.10,851.015
2025-05-10 01:00:00,102821.00,102935.00,102817.50,102920.70,585.192
2025-05-10 01:15:00,102920.60,103043.30,102920.60,103020.10,559.037
2025-05-10 01:30:00,103020.10,103080.00,102976.30,102981.60,515.107
2025-05-10 01:45:00,102981.60,103033.60,102861.70,102932.70,532.959
2025-05-10 02:00:00,102932.80,103006.80,102905.10,103006.80,384.415
2025-05-10 02:15:00,103006.80,103034.40,102903.60,102967.20,257.443
2025-05-10 02:30:00,102967.10,103194.30,102945.60,103146.60,696.765
2025-05-10 02:45:00,103146.50,103232.00,103067.30,103104.20,573.524
2025-05-10 03:00:00,103104.20,103125.00,103033.60,103051.30,353.519
2025-05-10 03:15:00,103051.20,103051.30,102938.10,102991.50,342.727
2025-05-10 03:30:00,102991.40,103142.10,102991.40,103142.10,444.200
2025-05-10 03:45:00,103142.00,103193.00,103114.30,103179.40,430.762
2025-05-10 04:00:00,103179.30,103179.40,103010.50,103087.40,534.099
2025-05-10 04:15:00,103087.50,103167.40,102997.30,103082.80,518.735
2025-05-10 04:30:00,103082.90,103149.90,103030.00,103105.10,495.212
2025-05-10 04:45:00,103105.10,103150.00,103083.00,103121.50,177.017
2025-05-10 05:00:00,103121.60,103173.50,103083.20,103105.60,405.750
2025-05-10 05:15:00,103105.60,103311.10,103057.10,103143.70,1151.784
2025-05-10 05:30:00,103143.70,103205.20,103062.50,103190.00,301.948
2025-05-10 05:45:00,103190.00,103327.80,103107.50,103319.90,734.696
2025-05-10 06:00:00,103319.90,103461.50,103319.90,103356.60,1376.617
2025-05-10 06:15:00,103356.70,103685.20,103354.60,103684.50,2025.582
2025-05-10 06:30:00,103684.50,103840.00,103582.00,103596.70,2159.062
2025-05-10 06:45:00,103596.70,103919.90,103500.10,103908.00,2289.131
2025-05-10 07:00:00,103907.90,104085.00,103750.10,103760.80,2606.107
2025-05-10 07:15:00,103760.90,103847.80,103615.90,103699.80,1380.093
2025-05-10 07:30:00,103699.80,103780.00,103616.80,103616.80,659.056
2025-05-10 07:45:00,103616.80,103842.80,103585.00,103721.70,1319.222
2025-05-10 08:00:00,103721.70,104066.20,103691.70,103768.60,2174.363
2025-05-10 08:15:00,103768.70,103975.50,103742.30,103967.00,728.055
2025-05-10 08:30:00,103967.10,103970.00,103834.10,103848.40,737.460
2025-05-10 08:45:00,103848.30,103869.90,103413.30,103587.70,2122.414
2025-05-10 09:00:00,103587.70,103625.00,103311.00,103433.50,2701.414
2025-05-10 09:15:00,103433.50,103588.00,103373.90,103548.90,942.917
2025-05-10 09:30:00,103548.90,103871.30,103490.70,103687.00,1274.509
2025-05-10 09:45:00,103687.10,103832.20,103687.00,103723.20,632.673
2025-05-10 10:00:00,103723.20,103846.10,103676.00,103767.50,623.641
2025-05-10 10:15:00,103767.60,103831.20,103708.40,103711.00,480.919
2025-05-10 10:30:00,103711.00,103811.40,103628.00,103673.90,788.068
2025-05-10 10:45:00,103674.00,103757.30,103538.40,103540.00,1369.351
2025-05-10 11:00:00,103540.00,103607.30,103476.30,103565.00,902.956
2025-05-10 11:15:00,103565.00,103579.20,103476.00,103499.80,843.261
2025-05-10 11:30:00,103499.80,103500.00,103329.10,103408.00,1168.033
2025-05-10 11:45:00,103408.00,103455.80,103334.90,103374.60,1039.877
2025-05-10 12:00:00,103374.70,103613.60,103369.10,103554.20,1151.781
2025-05-10 12:15:00,103554.30,103744.90,103500.00,103671.40,996.514
2025-05-10 12:30:00,103671.20,103781.10,103587.20,103595.80,929.308
2025-05-10 12:45:00,103595.80,103680.60,103583.30,103646.70,464.755
2025-05-10 13:00:00,103646.60,103750.00,103618.40,103627.10,486.132
2025-05-10 13:15:00,103627.10,103627.10,103481.90,103536.10,739.139
2025-05-10 13:30:00,103536.00,103600.00,103490.60,103547.00,442.188
2025-05-10 13:45:00,103546.90,103668.60,103546.90,103581.40,783.171
2025-05-10 14:00:00,103581.40,103630.70,103481.60,103513.20,655.795
2025-05-10 14:15:00,103513.10,103527.50,103364.00,103452.70,872.065
2025-05-10 14:30:00,103452.70,103501.00,103426.70,103501.00,376.794
2025-05-10 14:45:00,103501.00,103575.10,103405.40,103476.60,736.862
2025-05-10 15:00:00,103476.60,103487.50,103390.10,103447.90,580.485
2025-05-10 15:15:00,103447.90,103457.40,103363.30,103425.00,600.957
2025-05-10 15:30:00,103425.00,103457.40,103111.00,103273.10,1847.958
2025-05-10 15:45:00,103273.00,103352.90,103038.70,103102.60,1943.357
2025-05-10 16:00:00,103102.60,103230.50,103090.60,103216.20,1170.911
2025-05-10 16:15:00,103216.20,103495.00,103216.20,103269.90,1145.972
2025-05-10 16:30:00,103270.00,103464.00,103250.00,103336.20,785.521
2025-05-10 16:45:00,103336.20,103418.50,103210.10,103390.60,991.460
2025-05-10 17:00:00,103390.60,103480.60,103347.40,103350.10,828.918
2025-05-10 17:15:00,103350.00,103498.50,103266.60,103388.90,908.324
2025-05-10 17:30:00,103388.90,103589.00,103366.90,103391.30,1227.526
2025-05-10 17:45:00,103391.20,103427.10,103111.00,103135.90,1700.459
2025-05-10 18:00:00,103135.80,103268.00,103112.10,103252.50,761.575
2025-05-10 18:15:00,103252.50,103267.10,103110.90,103189.00,615.552
2025-05-10 18:30:00,103189.00,103200.00,102940.00,103102.40,1656.628
2025-05-10 18:45:00,103102.40,103300.00,103080.70,103196.90,1203.278
2025-05-10 19:00:00,103197.00,103230.00,103045.00,103049.70,611.952
2025-05-10 19:15:00,103049.70,103200.00,103046.00,103174.80,416.108
2025-05-10 19:30:00,103174.90,103272.50,103155.50,103212.10,398.537
2025-05-10 19:45:00,103212.20,103230.00,103100.00,103148.60,325.081
2025-05-10 20:00:00,103148.70,103178.20,103016.20,103178.20,458.302
2025-05-10 20:15:00,103178.20,103230.10,103142.40,103174.30,354.099
2025-05-10 20:30:00,103174.40,103258.00,103171.80,103258.00,355.828
2025-05-10 20:45:00,103258.00,103276.10,103114.30,103144.90,322.221
2025-05-10 21:00:00,103144.90,103290.50,103116.10,103224.00,430.598
2025-05-10 21:15:00,103224.00,103224.10,103157.50,103181.30,202.906
2025-05-10 21:30:00,103181.20,103348.20,103180.00,103332.70,466.687
2025-05-10 21:45:00,103332.70,103777.50,103301.60,103719.00,2289.322
2025-05-10 22:00:00,103719.00,103766.90,103532.10,103548.00,1285.730
2025-05-10 22:15:00,103548.10,103709.90,103508.30,103581.00,571.657
2025-05-10 22:30:00,103581.10,103817.50,103581.00,103611.80,1052.654
2025-05-10 22:45:00,103611.80,103698.00,103546.70,103551.20,550.028
2025-05-10 23:00:00,103551.20,103966.90,103523.40,103961.20,1570.672
2025-05-10 23:15:00,103961.30,105000.10,103961.20,104772.20,14175.607
2025-05-10 23:30:00,104772.20,104820.70,104233.00,104350.10,3912.598
2025-05-10 23:45:00,104350.00,104792.70,104315.00,104788.80,2329.812
2025-05-11 00:00:00,104788.80,104950.00,104585.70,104601.60,2994.208
