datetime,open,high,low,close,volume
2025-05-27 18:45:00,178.2600,178.7100,178.1000,178.4800,110956.54
2025-05-27 19:00:00,178.4700,179.2200,178.1700,179.0200,232493.38
2025-05-27 19:15:00,179.0200,179.0200,178.3500,178.5200,72854.49
2025-05-27 19:30:00,178.5200,178.8100,177.7100,178.0600,194952.27
2025-05-27 19:45:00,178.0500,178.3600,177.3200,177.4500,151792.33
2025-05-27 20:00:00,177.4500,178.1200,177.0300,177.9900,217346.17
2025-05-27 20:15:00,177.9900,178.3600,177.9500,178.2400,77333.50
2025-05-27 20:30:00,178.2400,178.6000,177.8200,177.8900,94802.20
2025-05-27 20:45:00,177.8900,178.2500,177.7100,177.9800,64220.61
2025-05-27 21:00:00,177.9800,178.2200,177.7500,178.2100,79316.40
2025-05-27 21:15:00,178.2200,178.2200,176.6400,176.8500,239302.88
2025-05-27 21:30:00,176.8600,177.3500,175.8900,176.1100,239490.83
2025-05-27 21:45:00,176.1100,176.6000,176.0400,176.3600,71235.86
2025-05-27 22:00:00,176.3600,176.9500,175.5700,175.8700,204288.63
2025-05-27 22:15:00,175.8600,176.5400,175.5000,176.2100,177752.05
2025-05-27 22:30:00,176.2000,176.5700,176.0100,176.4600,87504.37
2025-05-27 22:45:00,176.4700,176.8100,176.3200,176.5700,66274.82
2025-05-27 23:00:00,176.5700,176.9700,176.4600,176.7000,85656.15
2025-05-27 23:15:00,176.7000,176.8400,176.1000,176.1400,58872.98
2025-05-27 23:30:00,176.1300,176.7000,176.0200,176.4600,64491.20
2025-05-27 23:45:00,176.4700,176.8100,176.4300,176.6400,60229.50
2025-05-28 00:00:00,176.6400,176.7600,175.9900,176.0400,110026.16
2025-05-28 00:15:00,176.0500,177.0400,175.7700,176.8900,134585.07
2025-05-28 00:30:00,176.9000,177.1600,176.2900,176.8100,94518.62
2025-05-28 00:45:00,176.8200,177.3400,176.3300,177.1700,84443.28
2025-05-28 01:00:00,177.1700,177.3800,176.5200,176.5600,99615.85
2025-05-28 01:15:00,176.5600,176.5600,176.0200,176.1500,96892.13
2025-05-28 01:30:00,176.1500,176.6100,175.8800,176.3500,106434.00
2025-05-28 01:45:00,176.3500,176.7600,175.0500,175.3900,213110.72
2025-05-28 02:00:00,175.3900,175.4000,174.7500,174.9400,386139.23
2025-05-28 02:15:00,174.9300,175.0000,174.3100,174.4900,264609.22
2025-05-28 02:30:00,174.5000,174.9800,174.4200,174.7400,186903.69
2025-05-28 02:45:00,174.7400,174.8400,174.4600,174.5300,105483.20
2025-05-28 03:00:00,174.5300,174.9500,174.3400,174.8800,91731.67
2025-05-28 03:15:00,174.8800,174.8800,174.1300,174.3500,122491.81
2025-05-28 03:30:00,174.3400,175.1200,174.2700,174.8300,106071.91
2025-05-28 03:45:00,174.8300,175.2200,174.7700,175.0300,99885.50
2025-05-28 04:00:00,175.0200,175.0300,174.4500,174.6300,135787.40
2025-05-28 04:15:00,174.6300,174.8700,174.2300,174.3600,61487.00
2025-05-28 04:30:00,174.3600,175.1000,174.3100,174.9500,77899.53
2025-05-28 04:45:00,174.9500,175.2700,174.7900,174.8300,90121.74
2025-05-28 05:00:00,174.8200,174.8600,174.3900,174.6600,111170.91
2025-05-28 05:15:00,174.6600,174.8900,174.5200,174.8100,50317.98
2025-05-28 05:30:00,174.8000,175.0800,174.5100,174.7500,74545.66
2025-05-28 05:45:00,174.7400,174.8100,174.4300,174.4800,64686.42
2025-05-28 06:00:00,174.4800,174.5100,173.6300,173.6500,229987.67
2025-05-28 06:15:00,173.6500,174.1700,173.6100,174.1500,99877.94
2025-05-28 06:30:00,174.1500,174.1500,173.5800,174.0000,69397.82
2025-05-28 06:45:00,174.0100,174.2800,173.8900,173.9300,88596.64
2025-05-28 07:00:00,173.9300,174.3700,173.7100,174.1600,96711.71
2025-05-28 07:15:00,174.1600,174.3300,173.9200,173.9700,58944.24
2025-05-28 07:30:00,173.9600,174.4300,173.9100,174.3600,75579.05
2025-05-28 07:45:00,174.3700,174.4800,173.7300,173.8100,112558.95
2025-05-28 08:00:00,173.8200,174.1100,173.3700,173.6400,175788.94
2025-05-28 08:15:00,173.6300,174.2000,173.5100,174.0700,97508.98
2025-05-28 08:30:00,174.0600,174.3100,173.4600,174.2900,142977.50
2025-05-28 08:45:00,174.2800,174.3800,173.8300,174.0100,95605.95
2025-05-28 09:00:00,174.0100,174.0600,173.4500,173.5300,95932.79
2025-05-28 09:15:00,173.5300,173.6400,173.0900,173.1200,151225.67
2025-05-28 09:30:00,173.1200,173.6600,172.8000,173.5100,254440.89
2025-05-28 09:45:00,173.5100,173.6900,173.1100,173.3100,105821.15
2025-05-28 10:00:00,173.3200,173.5300,172.7200,173.5000,201460.68
2025-05-28 10:15:00,173.5100,173.7500,173.0900,173.5800,136076.75
2025-05-28 10:30:00,173.5800,173.9100,173.4800,173.7200,115076.78
2025-05-28 10:45:00,173.7200,174.2100,173.6600,173.9000,180747.81
2025-05-28 11:00:00,173.9000,174.1500,173.7900,173.8700,92319.06
2025-05-28 11:15:00,173.8700,174.0000,173.5500,173.6000,68283.80
2025-05-28 11:30:00,173.5900,174.2100,173.5700,174.1400,95715.14
2025-05-28 11:45:00,174.1400,174.4200,174.0800,174.4200,105348.63
2025-05-28 12:00:00,174.4200,174.5300,174.0800,174.4300,124633.60
2025-05-28 12:15:00,174.4200,174.8800,174.3000,174.7100,185226.92
2025-05-28 12:30:00,174.7100,174.9900,174.5400,174.9600,197265.20
2025-05-28 12:45:00,174.9600,175.0500,174.0100,174.1300,173509.95
2025-05-28 13:00:00,174.1300,174.2100,173.6500,174.0000,180825.31
2025-05-28 13:15:00,173.9900,174.0400,173.3800,173.8500,171503.81
2025-05-28 13:30:00,173.8500,174.4200,173.1000,173.3100,280340.78
2025-05-28 13:45:00,173.3000,173.3100,172.3100,172.4700,476807.15
2025-05-28 14:00:00,172.4600,172.8400,171.7800,171.9900,538574.67
2025-05-28 14:15:00,171.9900,172.2300,171.2200,171.9500,601853.77
2025-05-28 14:30:00,171.9500,171.9500,170.7000,171.2100,557874.74
2025-05-28 14:45:00,171.2000,171.5300,169.8100,170.0500,730866.70
2025-05-28 15:00:00,170.0500,170.4600,168.8000,168.9100,979707.11
2025-05-28 15:15:00,168.9100,169.9900,168.8100,169.9400,407679.46
2025-05-28 15:30:00,169.9400,170.3100,169.6400,170.1700,259826.22
2025-05-28 15:45:00,170.1800,170.2000,169.4500,169.6000,189157.29
2025-05-28 16:00:00,169.6100,170.2500,169.4400,170.0000,195877.40
2025-05-28 16:15:00,170.0000,170.7100,169.9800,170.6000,231204.08
2025-05-28 16:30:00,170.6000,170.6000,170.0200,170.4400,131741.31
2025-05-28 16:45:00,170.4400,170.9500,170.3100,170.9300,116296.58
2025-05-28 17:00:00,170.9400,171.8400,170.9300,171.4100,376565.93
2025-05-28 17:15:00,171.4000,171.9200,170.7500,171.0500,202237.24
2025-05-28 17:30:00,171.0500,171.0500,170.1200,170.3900,160993.04
2025-05-28 17:45:00,170.3900,170.8000,170.2200,170.7300,92714.83
2025-05-28 18:00:00,170.7300,171.3100,170.5400,171.3000,117285.52
2025-05-28 18:15:00,171.3100,171.3800,170.4400,170.4800,115344.41
2025-05-28 18:30:00,170.4700,170.8200,170.3000,170.7300,66762.89
2025-05-28 18:45:00,170.7300,170.9300,169.6800,169.8500,213129.86
2025-05-28 19:00:00,169.8400,170.7800,169.7400,170.4900,157250.08
2025-05-28 19:15:00,170.4900,170.5000,169.5600,169.6600,132032.12
2025-05-28 19:30:00,169.6600,170.0800,169.2200,169.2200,221237.98
2025-05-28 19:45:00,169.2200,169.7000,169.0400,169.3100,278476.79
2025-05-28 20:00:00,169.3200,169.7500,169.1100,169.5800,184610.78
2025-05-28 20:15:00,169.5700,170.2000,169.4000,170.0300,201483.93
2025-05-28 20:30:00,170.0300,170.5200,169.6800,170.3300,122056.27
2025-05-28 20:45:00,170.3400,170.7200,170.1100,170.7100,91355.45
2025-05-28 21:00:00,170.7200,170.7600,170.4400,170.7300,91099.15
2025-05-28 21:15:00,170.7400,171.1800,170.7100,170.9500,93266.41
2025-05-28 21:30:00,170.9500,171.3200,170.9500,171.2800,46483.25
2025-05-28 21:45:00,171.2900,171.5000,171.0900,171.4400,65563.60
2025-05-28 22:00:00,171.4300,171.4800,170.4100,170.6900,183353.44
2025-05-28 22:15:00,170.7000,170.8100,170.4300,170.5900,70389.59
2025-05-28 22:30:00,170.5900,170.7000,170.2400,170.5400,62963.20
2025-05-28 22:45:00,170.5400,170.9500,170.2700,170.7900,73934.73
2025-05-28 23:00:00,170.7900,171.8100,170.7900,171.7900,178378.98
2025-05-28 23:15:00,171.8000,172.3800,171.6300,172.1800,364775.76
2025-05-28 23:30:00,172.1900,172.5900,171.8800,172.1800,205680.37
2025-05-28 23:45:00,172.1800,172.2100,171.8100,172.1100,100533.31
2025-05-29 00:00:00,172.1200,172.2000,171.2300,171.5300,266519.84
